State   County  Year    UFOSightingCount   Population_Density   Housing_Density Urban_Rural
New Mexico  chaves  1998  2  10.1  4.2   Rural
New York  greene  2009  4  76.1  45.1   Rural
Minnesota  nicollet  2004  1  73.0  28.7   Rural
Georgia  cherokee  1995  1  334.9  122.6   Rural
Pennsylvania  dauphin  2002  5  510.6  229.3   Rural
Arkansas  crittenden  2003  1  83.5  35.2   Rural
South Dakota  lincoln  1995  1  41.7  15.8   Rural
Texas  smith  2006  2  227.6  94.8   Rural
Georgia  lowndes  2001  1  220.2  88.5   Rural
Oregon  linn  2005  2  50.9  21.3   Rural
Oklahoma  stephens  2006  1  51.8  23.7   Rural
Washington  grant  2002  2  33.3  13.1   Rural
California  santa barbara  2009  10  155.0  55.9   Rural
Texas  taylor  2005  7  143.6  60.9   Rural
Mississippi  hinds  1995  1  288.5  115.4   Rural
Oklahoma  garvin  2002  1  34.4  16.0   Rural
Kentucky  montgomery  2007  1  134.3  59.3   Rural
New Jersey  ocean  2005  9  917.0  442.2   Rural
Alabama  lauderdale  1995  1  131.4  60.4   Rural
New York  genesee  1996  1  122.2  49.0   Rural
Pennsylvania  mercer  1997  1  179.1  74.2   Rural
Connecticut  litchfield  1995  1  198.1  86.2   Rural
Minnesota  dakota  1998  1  624.9  234.8   Rural
Missouri  shelby  1997  1  13.6  6.5   Rural
Pennsylvania  york  2008  6  481.1  197.6   Rural
Washington  san juan  2005  3  90.7  76.5   Rural
Ohio  ashtabula  1999  1  146.2  62.3   Rural
Arizona  cochise  1998  1  19.1  8.3   Rural
Texas  matagorda  2005  2  33.4  17.1   Rural
New York  erie  2003  4  881.4  402.8   Rural
Indiana  tippecanoe  1997  1  298.0  116.7   Rural
Minnesota  anoka  2003  5  782.1  299.5   Rural
Texas  bexar  2005  1  1383.1  534.7   Urban
Ohio  adams  2006  1  48.9  22.2   Rural
Washington  jefferson  2005  1  16.6  9.9   Rural
New York  cattaraugus  1997  2  64.1  30.4   Rural
Pennsylvania  blair  2006  3  241.7  107.0   Rural
Massachusetts  suffolk  1995  2  11788.4  4999.0   Urban
California  mariposa  2004  4  12.6  7.0   Rural
New York  saratoga  2010  1  271.1  121.8   Rural
Utah  salt lake  2002  7  1387.1  490.4   Rural
Ohio  delaware  1993  1  248.6  95.8   Rural
Nebraska  platte  2000  1  46.7  19.0   Rural
South Dakota  fall river  1994  1  4.3  2.2   Rural
Maine  aroostook  1999  1  11.1  5.8   Rural
Oklahoma  cleveland  1998  2  388.0  158.3   Rural
California  riverside  1997  7  214.4  81.1   Rural
Pennsylvania  indiana  2006  3  107.5  46.2   Rural
California  calaveras  1996  1  39.8  22.5   Rural
Texas  gillespie  2000  1  19.6  9.3   Rural
Wisconsin  waukesha  2006  2  709.4  292.7   Rural
Ohio  seneca  2008  1  103.0  43.8   Rural
New Jersey  middlesex  2000  3  2422.1  883.5   Urban
Virginia  grayson  2001  1  35.1  20.7   Rural
Wisconsin  kenosha  2003  3  611.9  254.7   Rural
Ohio  butler  2010  2  788.2  317.5   Rural
Rhode Island  newport  2009  2  809.6  408.2   Rural
Texas  denton  2008  10  754.3  291.6   Rural
Florida  brevard  1996  1  467.7  218.1   Rural
Maryland  harford  2004  2  560.1  218.6   Rural
West Virginia  berkeley  2004  3  324.4  139.4   Rural
Texas  liberty  1997  1  60.5  22.7   Rural
Kentucky  christian  2004  1  103.1  41.1   Rural
New York  schenectady  1998  1  711.1  315.5   Rural
New York  livingston  2005  3  103.5  42.9   Rural
Illinois  saline  2006  1  65.6  30.8   Rural
Georgia  liberty  2007  2  129.5  54.6   Rural
Texas  colorado  2002  1  21.7  11.0   Rural
Oregon  marion  1991  1  240.6  91.4   Rural
North Carolina  guilford  2001  1  756.4  337.6   Rural
Kentucky  madison  1995  1  160.8  67.2   Rural
Washington  skagit  1997  2  59.3  24.6   Rural
Kentucky  pike  2003  1  82.6  38.5   Rural
Maine  somerset  1995  1  13.0  7.2   Rural
New Jersey  atlantic  1995  2  450.1  203.3   Rural
Tennessee  sevier  2001  1  151.7  94.4   Rural
Vermont  caledonia  2002  1  48.1  24.6   Rural
Tennessee  hawkins  1997  1  110.1  50.2   Rural
Tennessee  maury  2009  4  132.0  57.5   Rural
North Dakota  cass  2010  1  84.9  38.5   Rural
Colorado  garfield  1994  1  14.9  5.9   Rural
California  orange  2000  26  3605.6  1228.1   Urban
North Carolina  wayne  2005  1  221.7  95.7   Rural
Washington  thurston  2003  8  349.4  149.8   Rural
Michigan  antrim  2001  2  49.6  37.5   Rural
New York  dutchess  2007  5  373.9  149.1   Rural
Washington  benton  2010  7  103.0  40.4   Rural
California  fresno  2004  13  156.2  53.0   Rural
Wyoming  sweetwater  1999  1  3.6  1.5   Rural
Vermont  bennington  2001  1  55.0  31.0   Rural
Colorado  el paso  2000  5  243.1  95.2   Rural
Ohio  pike  2000  1  62.7  26.3   Rural
West Virginia  ohio  2004  5  420.0  200.1   Rural
Connecticut  new london  2002  4  412.2  182.0   Rural
Virginia  prince william  1999  1  831.3  290.3   Rural
South Carolina  florence  2006  2  171.1  73.3   Rural
Georgia  bulloch  2006  1  104.4  42.8   Rural
Oregon  wasco  2006  2  10.6  4.8   Rural
Virginia  middlesex  2009  1  84.1  54.7   Rural
Georgia  gwinnett  2006  5  1871.2  677.4   Urban
Kentucky  hardin  2003  2  169.3  69.4   Rural
Wisconsin  waushara  2007  1  39.1  23.7   Rural
Wisconsin  sheboygan  2008  1  225.9  99.3   Rural
Georgia  chatham  1996  1  529.7  227.5   Rural
North Carolina  carteret  2001  1  131.3  95.2   Rural
Illinois  mclean  2003  1  143.3  58.9   Rural
Texas  rusk  2010  1  57.7  22.9   Rural
Virginia  frederick  2008  1  189.4  75.8   Rural
Kentucky  calloway  2003  3  96.6  46.9   Rural
Indiana  hancock  1996  2  180.9  71.0   Rural
South Carolina  aiken  2010  1  149.5  67.5   Rural
North Carolina  nash  2009  1  177.3  78.2   Rural
Florida  clay  2008  1  315.8  124.9   Rural
Nevada  lincoln  2007  1  0.5  0.3   Rural
Illinois  champaign  2009  2  201.8  87.9   Rural
Illinois  mchenry  1998  2  430.9  153.9   Rural
New York  sullivan  1997  1  76.3  46.1   Rural
California  los angeles  2006  111  2419.6  849.0   Urban
Rhode Island  bristol  1998  1  2051.8  805.4   Urban
Tennessee  cheatham  2002  1  129.3  51.8   Rural
California  ventura  2007  11  446.7  152.8   Rural
Nebraska  lancaster  2006  8  340.8  144.3   Rural
Colorado  adams  2009  4  378.2  139.7   Rural
Minnesota  sibley  2006  1  25.9  11.2   Rural
New Jersey  essex  2001  3  6211.5  2479.6   Urban
Arizona  pima  2004  19  106.7  48.0   Rural
California  nevada  2010  2  103.1  54.9   Rural
Minnesota  itasca  2008  1  16.9  10.1   Rural
Colorado  huerfano  2001  1  4.2  3.2   Rural
Texas  harris  2001  3  2402.4  938.5   Urban
Wisconsin  la crosse  2005  1  253.8  107.2   Rural
Colorado  mesa  1998  1  34.9  14.6   Rural
Indiana  washington  1999  1  52.9  21.8   Rural
Michigan  macomb  1991  1  1640.5  666.6   Urban
Mississippi  desoto  2005  3  338.7  129.4   Rural
Ohio  clark  2007  3  348.0  154.5   Rural
North Carolina  forsyth  2009  2  859.2  384.4   Rural
New York  niagara  2004  1  414.4  189.8   Rural
Georgia  lowndes  2008  1  220.2  88.5   Rural
Colorado  pueblo  2006  2  66.7  29.1   Rural
Tennessee  knox  2000  3  751.3  337.2   Rural
Maryland  montgomery  2005  8  1978.2  765.2   Urban
Minnesota  lake  2001  1  5.2  3.6   Rural
Minnesota  ramsey  2007  1  3341.6  1426.9   Urban
California  santa barbara  2000  5  145.9  52.2   Rural
Washington  clallam  2000  1  37.1  17.6   Rural
Oregon  polk  2004  3  101.8  40.9   Rural
Pennsylvania  warren  2005  1  47.3  26.6   Rural
Missouri  iron  1999  1  19.4  8.9   Rural
Minnesota  hennepin  1999  3  2005.3  842.3   Urban
West Virginia  wayne  2006  1  84.0  38.0   Rural
Vermont  rutland  2007  2  66.3  36.3   Rural
Texas  lubbock  1999  1  269.7  111.8   Rural
Michigan  oceana  2006  1  51.9  31.1   Rural
West Virginia  hampshire  2001  1  37.4  21.4   Rural
Illinois  schuyler  2004  1  17.3  7.9   Rural
Pennsylvania  lehigh  2006  5  1012.5  413.2   Rural
Florida  santa rosa  1996  2  115.8  48.3   Rural
Oregon  multnomah  1999  2  1517.6  663.0   Urban
Florida  osceola  2009  1  202.4  96.6   Rural
Minnesota  dakota  2005  7  709.0  283.9   Rural
Alabama  madison  2004  2  417.7  182.7   Rural
Oklahoma  kingfisher  2004  2  16.7  7.1   Rural
Arkansas  marion  2000  1  27.0  13.8   Rural
Maryland  allegany  2005  1  177.0  78.5   Rural
Kansas  sedgwick  2000  5  453.2  191.3   Rural
Colorado  douglas  2007  4  339.7  127.2   Rural
New Mexico  sandoval  1993  2  24.2  9.4   Rural
California  santa clara  2006  19  1381.0  489.8   Rural
Colorado  arapahoe  2007  20  716.7  298.6   Rural
Tennessee  clay  2001  1  33.2  18.1   Rural
Indiana  tippecanoe  2004  6  345.7  142.2   Rural
Colorado  denver  2000  1  3616.8  1639.6   Urban
Texas  dallas  2004  7  2718.0  1082.6   Urban
Iowa  polk  2001  7  750.5  317.6   Rural
North Carolina  robeson  2007  1  141.3  55.6   Rural
Georgia  baldwin  2002  1  177.3  78.2   Rural
Minnesota  anoka  2010  6  782.1  299.5   Rural
Maryland  frederick  2010  2  353.5  136.5   Rural
Kansas  rooks  2007  1  5.8  3.1   Rural
Arkansas  johnson  2005  4  38.7  17.1   Rural
Colorado  boulder  2007  6  405.6  175.0   Rural
Massachusetts  hampden  2010  5  751.0  311.4   Rural
Illinois  lake  2010  7  1585.6  586.7   Urban
Missouri  henry  1995  1  31.3  14.6   Rural
Kentucky  bell  2004  1  79.9  36.6   Rural
West Virginia  mason  2005  1  63.4  30.2   Rural
California  tuolumne  2006  5  24.9  14.1   Rural
Pennsylvania  erie  1997  2  350.2  142.6   Rural
Alabama  lee  2006  1  230.8  102.7   Rural
Texas  lamar  2008  5  54.9  24.8   Rural
Ohio  lorain  2006  3  613.6  258.7   Rural
Florida  seminole  2002  2  1367.0  586.3   Urban
Florida  lake  2003  2  316.6  154.5   Rural
Kentucky  fleming  2008  2  41.2  19.0   Rural
West Virginia  marion  2010  1  182.7  85.7   Rural
New Jersey  hudson  2005  4  13731.4  5852.5   Urban
California  alameda  2000  7  1957.4  732.4   Urban
Massachusetts  worcester  2007  8  528.6  216.3   Rural
Mississippi  jones  2004  1  97.5  40.9   Rural
Missouri  montgomery  1993  1  22.6  10.7   Rural
California  imperial  2006  3  41.8  13.4   Rural
Georgia  cobb  1999  12  1786.7  698.3   Urban
Montana  beaverhead  2004  1  1.7  1.0   Rural
Wyoming  uinta  2001  1  10.1  4.2   Rural
New York  new york  1992  4  66940.1  34756.7   Urban
Ohio  butler  2003  6  788.2  317.5   Rural
Florida  brevard  2007  29  535.0  265.7   Rural
Texas  denton  2001  1  754.3  291.6   Rural
Pennsylvania  carbon  2009  2  171.1  89.9   Rural
New Mexico  luna  1999  1  8.4  3.8   Rural
New York  delaware  2009  3  33.3  21.6   Rural
Washington  walla walla  1993  1  43.4  16.6   Rural
New Hampshire  merrimack  2002  3  156.8  68.0   Rural
Kansas  pottawatomie  2008  1  25.7  10.3   Rural
Pennsylvania  montgomery  1999  2  1552.6  615.7   Urban
Missouri  dunklin  2009  1  59.1  26.6   Rural
Idaho  latah  2006  2  34.6  14.9   Rural
Arkansas  crawford  2004  1  104.4  44.0   Rural
Arkansas  jefferson  1996  1  95.2  38.8   Rural
North Carolina  guilford  2010  5  756.4  337.6   Rural
Kentucky  madison  2002  1  189.6  80.1   Rural
New Jersey  atlantic  2002  2  494.1  227.9   Rural
Connecticut  new haven  1998  2  1360.6  562.6   Urban
Tennessee  sevier  2010  1  151.7  94.4   Rural
California  sacramento  2010  7  1470.8  576.3   Urban
Pennsylvania  northumberland  2002  7  206.2  98.4   Rural
North Carolina  rockingham  2007  1  165.6  77.3   Rural
Florida  broward  1999  7  1346.5  614.8   Urban
Washington  benton  2005  2  103.0  40.4   Rural
California  madera  2007  3  70.6  23.0   Rural
Virginia  york  1996  1  2526.7  1134.2   Urban
Missouri  ozark  2003  1  13.1  7.6   Rural
Tennessee  dyer  2010  1  74.8  32.6   Rural
Illinois  sangamon  1999  1  217.6  98.4   Rural
Virginia  campbell  2005  1  108.8  49.2   Rural
Michigan  lenawee  2009  1  133.3  58.0   Rural
California  modoc  2001  1  2.5  1.3   Rural
Kentucky  knox  2007  1  82.5  37.5   Rural
Iowa  keokuk  2003  2  18.1  8.5   Rural
Texas  brewster  2001  1  1.5  0.9   Rural
California  san mateo  1994  1  1574.7  580.3   Urban
Utah  tooele  1999  2  5.9  2.0   Rural
Ohio  preble  1998  2  99.7  40.5   Rural
Ohio  knox  1999  1  103.4  41.3   Rural
North Carolina  nash  2002  1  177.3  78.2   Rural
Florida  clay  2003  1  315.8  124.9   Rural
Colorado  las animas  2005  2  3.2  1.7   Rural
Florida  indian river  2006  1  274.5  151.8   Rural
Missouri  scott  1997  1  96.0  40.3   Rural
Pennsylvania  adams  2003  1  195.5  78.7   Rural
Idaho  valley  2001  2  2.7  3.2   Rural
North Carolina  cleveland  2007  2  211.3  93.4   Rural
Florida  okaloosa  2003  3  194.4  99.3   Rural
Illinois  mchenry  2007  3  511.9  192.4   Rural
Kansas  wyandotte  2003  1  1039.0  440.3   Rural
Iowa  kossuth  2004  1  16.0  7.7   Rural
Iowa  linn  2000  1  267.2  112.3   Rural
Montana  pondera  2006  1  3.8  1.6   Rural
Idaho  payette  1992  1  50.5  19.5   Rural
Michigan  saginaw  2004  1  250.2  108.5   Rural
California  san luis obispo  1998  2  74.7  31.0   Rural
New York  herkimer  2002  1  45.7  23.6   Rural
New Jersey  essex  1992  1  6285.4  2383.9   Urban
Indiana  noble  2005  1  115.7  48.9   Rural
Pennsylvania  pike  2001  1  105.3  70.4   Rural
South Carolina  beaufort  2002  1  281.5  161.4   Rural
Idaho  idaho  1999  1  1.8  0.9   Rural
Oregon  clackamas  1992  1  181.1  73.3   Rural
Georgia  cherokee  2009  3  508.3  195.3   Rural
Arkansas  independence  2003  1  48.0  21.2   Rural
Ohio  clark  1998  1  362.0  152.7   Rural
Michigan  livingston  1999  3  276.1  103.7   Rural
North Carolina  forsyth  2002  3  859.2  384.4   Rural
California  mendocino  2006  5  25.1  11.5   Rural
Washington  okanogan  2007  1  7.8  4.2   Rural
Arizona  santa cruz  2009  1  38.3  14.6   Rural
Maryland  baltimore  2010  7  1345.5  561.0   Urban
Vermont  washington  2004  1  86.6  43.6   Rural
Ohio  hamilton  1999  1  2075.1  916.6   Urban
Missouri  jefferson  1999  1  301.6  115.1   Rural
Texas  taylor  1991  1  138.2  56.9   Rural
Washington  clallam  2009  1  41.1  20.5   Rural
Colorado  otero  2004  1  14.9  7.1   Rural
Maine  androscoggin  2005  2  230.2  104.9   Rural
Texas  hood  2004  1  121.7  59.3   Rural
Mississippi  hinds  2009  1  282.0  118.9   Rural
Utah  washington  1997  1  37.2  15.0   Rural
Kentucky  fayette  1995  2  915.6  408.3   Rural
Indiana  marshall  2000  1  101.6  40.7   Rural
Arizona  maricopa  1992  1  333.8  135.8   Rural
Ohio  pickaway  2004  2  111.1  42.4   Rural
Kentucky  barren  2000  1  77.5  34.8   Rural
Michigan  iron  1994  1  11.3  7.5   Rural
Texas  coryell  2009  4  71.7  23.9   Rural
Massachusetts  franklin  2005  2  102.1  48.3   Rural
California  solano  1996  1  475.8  162.2   Rural
North Carolina  union  2000  1  194.0  71.7   Rural
Iowa  winneshiek  2000  1  30.9  11.9   Rural
Maryland  allegany  1996  2  176.1  77.5   Rural
Colorado  eagle  2003  2  31.0  18.6   Rural
Colorado  douglas  1998  3  209.2  75.4   Rural
Colorado  teller  2001  1  41.9  22.7   Rural
Ohio  highland  2002  1  78.8  35.0   Rural
Ohio  hancock  2007  1  140.7  62.4   Rural
Texas  collin  2007  19  930.0  357.8   Rural
Arizona  coconino  1996  2  6.2  2.9   Rural
Maryland  frederick  2001  2  353.5  136.5   Rural
Kentucky  bullitt  2009  1  250.2  98.7   Rural
Mississippi  pike  2007  2  98.8  43.7   Rural
Texas  williamson  2006  3  378.0  145.6   Rural
Pennsylvania  lycoming  2008  1  94.5  42.7   Rural
Wisconsin  fond du lac  2007  1  141.2  61.0   Rural
Ohio  jefferson  2001  1  170.7  80.4   Rural
Massachusetts  hampden  2003  7  751.0  311.4   Rural
Alabama  elmore  2007  1  128.2  52.8   Rural
Alabama  escambia  1999  1  40.6  17.5   Rural
Michigan  eaton  2001  1  187.4  81.8   Rural
Arkansas  garland  2000  2  130.0  66.4   Rural
New Jersey  mercer  2001  2  1632.2  637.6   Urban
Georgia  clarke  1998  1  840.2  348.8   Rural
Ohio  warren  2008  2  530.0  201.2   Rural
Texas  van zandt  2010  1  62.4  27.1   Rural
Tennessee  cumberland  2007  1  82.3  41.3   Rural
Illinois  will  2007  19  809.6  283.8   Rural
Washington  clark  2004  5  676.2  266.2   Rural
New York  schuyler  1998  1  58.5  27.9   Rural
Maine  aroostook  2009  1  10.8  5.9   Rural
Texas  erath  1997  1  30.4  13.3   Rural
Texas  lamar  2003  1  54.9  24.8   Rural
Ohio  lorain  1999  2  578.0  226.1   Rural
Tennessee  tipton  2004  1  133.3  50.6   Rural
Michigan  clare  2005  2  54.8  41.2   Rural
California  lassen  1999  1  7.4  2.6   Rural
Indiana  hamilton  2005  5  696.4  270.8   Rural
North Carolina  beaufort  2004  1  57.7  29.8   Rural
Iowa  madison  1994  1  25.0  10.1   Rural
Massachusetts  worcester  1998  7  496.3  197.1   Rural
Montana  gallatin  2004  1  34.4  16.2   Rural
California  calaveras  2002  3  44.7  27.4   Rural
Wisconsin  waukesha  1992  1  649.4  252.5   Rural
Georgia  cobb  2000  9  1786.7  698.3   Urban
New Jersey  middlesex  1998  1  2422.1  883.5   Urban
Michigan  cass  2001  1  106.7  52.8   Rural
Florida  marion  2001  3  209.1  103.5   Rural
Idaho  ada  1995  4  285.2  112.3   Rural
Missouri  johnson  2006  2  63.4  26.0   Rural
Wyoming  campbell  1999  1  7.0  2.8   Rural
Illinois  madison  2002  1  376.3  163.7   Rural
Wisconsin  dodge  2004  1  101.4  42.3   Rural
Minnesota  olmsted  2005  1  220.8  92.6   Rural
Kentucky  mercer  2009  1  85.7  40.0   Rural
California  monterey  1998  5  120.9  39.6   Rural
New Jersey  monmouth  1995  2  1303.8  510.4   Urban
Alabama  mobile  1998  2  324.3  133.9   Rural
Georgia  bartow  2008  2  217.9  86.7   Rural
North Carolina  columbus  2005  2  62.0  27.8   Rural
Pennsylvania  montgomery  2000  1  1552.6  615.7   Urban
Michigan  dickinson  2000  1  35.8  17.9   Rural
Wisconsin  green lake  2001  3  54.5  30.4   Rural
Oklahoma  creek  2005  5  73.6  31.3   Rural
Texas  bowie  2008  2  104.6  43.5   Rural
Oregon  marion  2005  8  266.7  102.3   Rural
Kentucky  madison  2009  2  189.6  80.1   Rural
New York  rensselaer  1999  1  233.3  101.1   Rural
New York  oswego  2006  1  128.3  56.3   Rural
Maine  somerset  2009  1  13.3  7.8   Rural
Utah  wasatch  2004  1  20.0  9.0   Rural
Florida  alachua  1992  1  249.3  108.8   Rural
Connecticut  new haven  2007  11  1426.7  598.8   Urban
Maryland  kent  2003  2  72.9  38.1   Rural
Texas  runnels  2007  1  10.0  5.0   Rural
Pennsylvania  westmoreland  2006  3  355.4  163.7   Rural
Minnesota  isanti  2001  1  86.8  35.2   Rural
New York  schoharie  1997  2  50.8  25.6   Rural
California  sacramento  2003  21  1470.8  576.3   Urban
Florida  escambia  1991  1  444.5  188.2   Rural
California  inyo  2007  3  1.8  0.9   Rural
Florida  broward  2006  12  1444.9  669.9   Urban
Washington  benton  1996  1  83.7  32.9   Rural
Texas  galveston  2007  1  769.9  350.2   Rural
North Carolina  lincoln  2007  1  262.7  112.9   Rural
New Jersey  union  2010  4  5216.1  1939.5   Urban
Missouri  ozark  2008  1  13.1  7.6   Rural
Oregon  columbia  2001  1  75.1  31.5   Rural
Ohio  lake  2002  1  1011.2  444.9   Rural
Missouri  franklin  2006  1  110.0  47.1   Rural
Florida  hillsborough  1998  8  950.6  405.3   Rural
South Carolina  hampton  2009  1  37.7  16.3   Rural
Wisconsin  sheboygan  1998  2  219.3  89.5   Rural
Wyoming  park  2009  1  4.1  2.0   Rural
California  san mateo  2003  21  1602.2  604.4   Urban
Alaska  fairbanks north star  2001  1  13.3  5.7   Rural
Iowa  cass  2008  1  24.7  11.7   Rural
Hawaii  hawaii  2001  3  45.9  20.4   Rural
Michigan  montcalm  2007  3  89.8  40.0   Rural
Hawaii  kauai  2009  1  108.2  48.1   Rural
California  lake  1999  2  46.4  25.9   Rural
Indiana  allen  2000  5  504.9  211.3   Rural
Utah  davis  1998  1  784.9  243.4   Rural
North Carolina  stanly  2008  1  153.3  68.6   Rural
Ohio  wyandot  2006  1  55.6  24.3   Rural
West Virginia  kanawha  2007  2  214.1  102.7   Rural
Maine  penobscot  1996  1  42.7  19.7   Rural
New Hampshire  carroll  2007  1  51.4  42.8   Rural
Virginia  gloucester  2009  1  169.2  72.8   Rural
Kansas  harvey  1998  2  60.9  24.8   Rural
Washington  kittitas  2008  1  17.8  9.5   Rural
Idaho  canyon  1999  2  222.9  81.3   Rural
New Mexico  otero  2010  2  9.6  4.7   Rural
Iowa  linn  2009  3  294.6  128.7   Rural
Florida  monroe  1999  1  79.8  51.8   Rural
Illinois  kendall  2006  3  358.2  125.9   Rural
Virginia  caroline  2005  1  54.1  22.2   Rural
California  trinity  2008  1  4.3  2.7   Rural
Iowa  wright  1992  1  24.7  11.3   Rural
North Carolina  buncombe  2010  1  362.9  172.6   Rural
Colorado  jefferson  2003  4  699.5  300.9   Rural
New Mexico  san juan  2002  1  23.6  8.9   Rural
Texas  fayette  2004  1  25.8  14.6   Rural
California  sonoma  1995  4  291.0  116.2   Rural
Ohio  crawford  2002  1  109.0  50.2   Rural
Minnesota  chisago  1998  1  98.4  37.2   Rural
Texas  bastrop  2005  4  83.5  33.0   Rural
Wisconsin  portage  2001  1  87.4  37.5   Rural
Oregon  clackamas  2003  3  201.0  83.9   Rural
Tennessee  davidson  1995  1  1134.6  503.7   Urban
New York  putnam  2001  2  432.9  166.0   Rural
South Carolina  berkeley  2004  1  161.8  66.8   Rural
Wisconsin  racine  1998  2  566.9  224.3   Rural
Washington  spokane  2009  10  267.2  114.2   Rural
Texas  val verde  2003  1  15.5  5.9   Rural
North Carolina  henderson  2008  2  286.1  146.6   Rural
Wisconsin  vilas  2008  1  25.0  29.3   Rural
California  mendocino  1999  1  24.6  10.5   Rural
Michigan  livingston  2006  2  320.2  128.8   Rural
Ohio  summit  1991  1  1315.4  559.4   Urban
South Dakota  lincoln  2004  1  77.7  31.0   Rural
New York  chemung  1999  2  223.1  92.5   Rural
New York  tompkins  1993  1  202.7  81.1   Rural
North Carolina  davidson  2004  1  294.7  131.5   Rural
Maryland  baltimore  1997  3  1260.1  524.1   Urban
Iowa  lee  2007  3  69.3  31.3   Rural
South Carolina  richland  2005  2  507.9  213.6   Rural
Montana  lincoln  2006  2  5.4  3.2   Rural
California  butte  1995  1  123.9  52.2   Rural
Iowa  page  1998  1  31.7  13.7   Rural
Florida  martin  2010  1  1315.5  521.4   Urban
West Virginia  mercer  2005  1  148.6  71.9   Rural
Ohio  champaign  2005  2  93.5  39.1   Rural
Washington  ferry  2002  4  3.4  2.0   Rural
Florida  santa rosa  2010  1  149.6  64.0   Rural
Nebraska  washington  2009  1  51.9  21.3   Rural
North Dakota  richland  2001  1  11.4  5.2   Rural
North Dakota  ward  2008  1  30.6  13.3   Rural
Virginia  augusta  2007  1  76.3  32.3   Rural
North Carolina  harnett  2002  1  192.7  78.5   Rural
Idaho  gem  2005  1  29.8  12.7   Rural
Texas  comal  1994  2  139.0  58.3   Rural
Ohio  ashtabula  2004  2  144.6  65.7   Rural
Iowa  clay  1998  1  30.5  13.8   Rural
North Carolina  union  2009  1  318.7  115.4   Rural
Missouri  mississippi  2000  1  32.5  14.1   Rural
Mississippi  rankin  1998  1  148.9  58.2   Rural
Michigan  chippewa  2010  1  24.7  13.6   Rural
Texas  anderson  2003  1  55.0  18.9   Rural
Michigan  washtenaw  2009  10  488.4  209.0   Rural
Delaware  kent  2007  2  276.9  111.5   Rural
New York  suffolk  1991  1  1556.0  572.6   Urban
Florida  volusia  2000  3  401.9  192.1   Rural
California  stanislaus  2006  1  344.2  120.1   Rural
Texas  williamson  1999  2  222.6  80.4   Rural
Michigan  ingham  2008  4  505.1  218.1   Rural
Nevada  churchill  2007  1  5.0  2.2   Rural
Washington  douglas  2005  2  21.1  8.8   Rural
Idaho  bingham  2003  3  21.8  7.7   Rural
Illinois  cook  2004  144  5495.1  2306.5   Urban
North Carolina  wake  1998  1  754.7  311.3   Rural
Michigan  eaton  2008  3  187.4  81.8   Rural
Missouri  christian  1999  1  96.4  38.8   Rural
Missouri  henry  2009  1  32.0  15.6   Rural
New York  fulton  2005  1  112.1  57.6   Rural
New Jersey  mercer  2010  3  1632.2  637.6   Urban
Georgia  rockdale  2004  2  656.5  256.3   Rural
Montana  phillips  2002  1  0.8  0.5   Rural
New York  nassau  2006  4  4704.8  1645.0   Urban
Georgia  columbia  2003  2  427.6  167.6   Rural
Maine  aroostook  2002  1  10.8  5.9   Rural
Minnesota  cass  2006  1  14.1  12.3   Rural
Georgia  clayton  2006  1  1832.5  739.6   Urban
Kansas  shawnee  2005  2  327.1  145.5   Rural
Michigan  houghton  2003  1  36.3  18.5   Rural
Arizona  la paz  2005  2  4.6  3.6   Rural
Georgia  cobb  2009  12  2026.4  843.7   Urban
Florida  sarasota  2009  4  682.6  410.9   Rural
North Dakota  mckenzie  1999  2  2.1  1.0   Rural
California  colusa  2006  1  18.6  6.9   Rural
Michigan  cass  2008  5  106.7  52.8   Rural
Florida  marion  2010  5  209.1  103.5   Rural
Idaho  ada  2002  1  372.8  151.5   Rural
Illinois  madison  1995  2  357.2  150.3   Rural
Maryland  harford  1999  2  496.4  188.8   Rural
Minnesota  wright  2001  1  188.5  74.1   Rural
Delaware  new castle  2010  3  1263.2  510.2   Urban
New Jersey  monmouth  2002  11  1344.7  551.2   Urban
Alabama  mobile  2007  3  335.9  144.9   Rural
Pennsylvania  allegheny  2006  4  1675.6  807.0   Urban
Washington  walla walla  2007  4  46.3  18.5   Rural
New Mexico  dona ana  1995  1  45.9  17.1   Rural
Pennsylvania  montgomery  2009  6  1655.9  674.3   Urban
Michigan  dickinson  2009  1  34.4  18.4   Rural
Wisconsin  green lake  2008  1  54.5  30.4   Rural
Texas  bowie  2001  1  104.6  43.5   Rural
South Carolina  greenville  2004  2  574.7  249.0   Rural
Puerto Rico  vega alta  1998  1  1366.1  487.4   Rural
Wisconsin  winnebago  2003  1  384.3  168.8   Rural
New York  oswego  1997  1  128.4  55.4   Rural
Alabama  montgomery  2000  1  283.0  120.8   Rural
Tennessee  williamson  2008  4  314.4  117.6   Rural
Maine  somerset  2000  2  13.0  7.2   Rural
Ohio  brown  2001  1  91.5  39.4   Rural
Montana  missoula  2010  3  42.1  19.3   Rural
New York  rockland  2006  2  1795.9  599.6   Urban
Pennsylvania  westmoreland  1999  2  360.8  157.1   Rural
Tennessee  hawkins  2000  1  110.1  50.2   Rural
Mississippi  coahoma  2010  1  47.3  19.5   Rural
New York  jefferson  2010  2  91.6  45.7   Rural
Florida  escambia  1998  1  444.5  188.2   Rural
Illinois  crawford  2008  1  44.7  19.5   Rural
Pennsylvania  huntingdon  2010  1  52.5  25.6   Rural
Illinois  franklin  2010  1  96.8  45.3   Rural
